City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Central Hôtel
475,Manaure,CO,82.98,overcast clouds,11.7751,-72.4445,hotel palaima
482,Gizo,SB,82.27,broken clouds,-8.103,156.8419,Gizo Hotel
483,Tabou,CI,79.11,clear sky,4.423,-7.3528,hôtel le rochet
484,Daru,PG,77.23,overcast clouds,-9.0763,143.2092,Kuki
485,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Hotel Barlovento
487,Bundaberg,AU,79.21,overcast clouds,-24.85,152.35,Young Australian Hotel
490,Los Llanos De Aridane,ES,70.12,clear sky,28.6585,-17.9182,Valle Aridane
494,Gainesville,US,72.79,clear sky,29.6516,-82.3248,Hampton Inn & Suites Gainesville-Downtown
500,Hambantota,LK,74.71,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
501,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
502,Dakar,SN,81.48,clear sky,14.6937,-17.4441,翁记小吃
503,Antalaha,MG,73.58,light rain,-14.9003,50.2788,Hôtel Florida
505,Yenagoa,NG,78.89,scattered clouds,4.9247,6.2642,Peretimi Hotels Ltd.
519,Humaita,BR,84.47,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
522,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
523,Libertad,PH,74.53,overcast clouds,8.9442,125.5019,Horizon Inn Bed and Breakfast
524,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Deyna's City Inn
525,Sri Aman,MY,73.45,overcast clouds,1.2376,111.4621,Mega Inn
538,Pedernales,DO,80.64,scattered clouds,18.0384,-71.744,Hostal Doña Chava
543,Moerai,PF,72.52,moderate rain,-22.4333,-151.3333,Manotel Rurutu
550,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
552,Laranja Da Terra,BR,84.27,scattered clouds,-19.8989,-41.0567,Hotel São João
553,Inhambane,MZ,77.7,overcast clouds,-23.865,35.3833,Hotel de Inhambane
555,Corn Island,NI,80.74,broken clouds,12.1694,-83.0418,Sunrise Hotel
561,Pemangkat,ID,76.33,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
562,Cairns,AU,80.06,broken clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
563,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Paladino
571,Bangassou,CF,73.58,broken clouds,4.7413,22.8184,Hotel De Tourisme
575,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Hotel
580,Prado,BR,76.6,light rain,-17.3411,-39.2208,Pousada Recanto do Prado
581,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Tara-Mé
582,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
584,Plettenberg Bay,ZA,71.22,light rain,-34.0527,23.3716,Milkwood Manor
587,Quatre Cocos,MU,77.09,scattered clouds,-20.2078,57.7625,Horisun
597,San Rafael,AR,84.13,clear sky,-34.6177,-68.3301,Hotel Regional
601,Camana,PE,73.62,broken clouds,-16.6228,-72.7111,Caja Arequipa
605,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
606,Linden,GY,79.36,overcast clouds,6.0,-58.3,Watooka Guest House
608,Imbituba,BR,83.91,few clouds,-28.24,-48.6703,Silvestre Praia Hotel
612,Antofagasta,CL,72.68,broken clouds,-23.65,-70.4,Hotel Colón
615,Tangara,BR,84.7,overcast clouds,-6.1994,-35.8017,Pousada Planalto
625,Odienne,CI,75.65,clear sky,9.51,-7.5692,Hotel Frontière
626,Mabaruma,GY,78.39,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
627,Fare,PF,77.11,overcast clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
634,Matara,LK,73.17,broken clouds,5.9485,80.5353,Villa Palm Breeze
636,Ballitoville,ZA,73.54,broken clouds,-29.539,31.2144,The Vineyard On Ballito
637,Luanda,AO,77.29,overcast clouds,-8.8368,13.2343,Hotel Forum
640,Maragogi,BR,79.56,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
647,La Romana,DO,82.76,broken clouds,18.4273,-68.9728,Hotel Frano
649,Robertsport,LR,80.53,clear sky,6.7533,-11.3686,Nana's Lodge
651,Yeppoon,AU,74.98,light rain,-23.1333,150.7333,Blossom's on Seaspray
655,Temerloh,MY,74.98,moderate rain,3.4483,102.4176,Hotel Jelai
656,Rawson,AR,75.49,clear sky,-43.3002,-65.1023,Hotel Deportivo
661,Vao,NC,75.45,overcast clouds,-22.6667,167.4833,Nataiwatch
664,Cozumel,MX,81.07,broken clouds,20.5083,-86.9458,Hotel Isla Esmeralda
673,Mayumba,GA,76.68,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
680,Rockhampton,AU,75.09,broken clouds,-23.3833,150.5,Rockhampton Plaza
684,Labuan,MY,73.76,scattered clouds,5.2767,115.2417,Labuan Avenue Hotel
688,Tomatlan,MX,86.54,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
697,Vallenar,CL,84.2,clear sky,-28.5708,-70.7581,Hotel del Marqués
706,Byron Bay,AU,72.72,few clouds,-28.65,153.6167,Lord Byron Resort
708,Berbera,SO,76.12,clear sky,10.4396,45.0143,Al Madina Hotel
713,Ouangani,YT,81.12,scattered clouds,-12.8464,45.1361,Tata Gnagna
715,Los Andes,CL,89.01,clear sky,-32.8337,-70.5983,Hotel Gloria
717,Alappuzha,IN,75.0,scattered clouds,9.49,76.3264,Unnis Hotel
